course_id,course_number,title,current_period_count,selected_period_count,status,candidate_counts,changed
0ba6cb5d-7f8e-4936-9025-96890084a7e4,Econ 369,Causal Pathways: A Social Science Approach to Interdisciplinary Problems,1,1,exact,{1: 1},no
99ec1f67-fe17-487f-ab6d-7d10578e6f89,Econ 374,Survey of International Economics Issues,1,1,exact,{1: 1},no
c2287b5d-531d-4b88-bf28-d6eba16b3d36,Econ 377,Financial Markets,1,1,exact,{1: 1},no
3646f403-acfc-440f-a6c5-250abcf42861,Econ 411,Introduction to Game Theory,1,1,exact,{1: 1},no
e01ded7c-cb2a-4421-bbb8-3ecbdadc6c1b,Econ 422,Labor Economics,1,1,exact,{1: 1},no
c6ba1b0f-beca-43d6-986c-f51923e98d29,Econ 423,Managerial Economics,1,1,exact,{1: 1},no
52085587-33d1-4542-ba87-6a8459c78144,Econ 440,Development of Economic Thought,1,1,exact,{1: 1},no
b5a6c711-bdf8-4965-9c9f-46cef0ea854c,Econ 447,Quantitative Economic Methods,1,1,exact,{1: 1},no
940284a1-fbf6-4600-a038-8aa90105bce1,Econ 450,International Economics,1,1,exact,{1: 1},no
23e92dc6-3e3b-457d-9d7e-4f2881168a74,Econ 454,Economics of Development and Conflict,1,1,exact,{1: 1},no
2501acdc-a588-4205-ac5f-84fde113e0a9,Econ 465,Econometrics II,1,1,exact,{1: 1},no
f6bdb601-1883-4d9b-ab5c-2bc666cbf63c,Econ 466,Advanced Econometrics,1,1,exact,{1: 1},no
76d1219b-f261-4ed9-a1ce-c976fb4f4607,Econ 473,Public Economics,1,1,exact,{1: 1},no
042511fd-922f-483b-9d1a-822a875967eb,Econ 475,"Money, Banking and Financial Institutions",1,1,exact,{1: 1},no
e9b4205f-6fea-484d-b51f-02ea2638c170,Econ 476,The Economics of Sports,1,1,exact,{1: 1},no
6a3cdba5-5e84-46a1-a88b-824996f0b35d,Econ 480,Defense Economics,1,1,exact,{1: 1},no
c48e66f8-29c4-4593-9691-e92ebb910d80,Econ 481,Applied Economic Research Capstone I,1,1,exact,{1: 1},no
acdbc1dc-976a-4cd4-a755-b32c2d7a2f35,Econ 482,Applied Economic Research Capstone II,1,1,exact,{1: 1},no
8a71e8da-f446-4ffb-86f0-aeea8357ccf1,Econ 495,Special Topics,1,1,exact,{1: 1},no
753c3218-c42a-4933-b6b6-fd448c473576,Econ 499,Independent Study,0,0,exact,{0: 1},no
95c9f803-75f6-4b09-b137-75d5b3091ade,Econ 499A,Independent Study,0,0,exact,{0: 1},no
b02b7ff9-7fe3-4d4a-af48-f802543572df,Econ 499B,Independent Study,0,0,exact,{0: 1},no
3768afd0-2ecd-4a86-9225-a24d4dc2f406,Econ 499C,Independent Study,0,0,exact,{0: 1},no
1bf7a97f-ed1c-4b50-867d-35acf61c68dd,Ed Aca 499,Independent Study,,,no_match,,no
89913edb-119b-40a8-b0e0-5b5da294cb36,Ed Aca 499A,Independent Study,,,no_match,,no
4c9bceb9-457c-4161-bf5a-d16272081381,Ed Aca 499B,Independent Study,,,no_match,,no
17790d4f-5243-45e2-8578-cb5f055da443,Ed Aca 499C,Independent Study,,,no_match,,no
a356356a-ae24-4a22-88cd-7dd00ea88cfd,English 111,Introductory Composition and Research,1,1,exact,{1: 1},no
b4e8558f-5075-43e3-8aba-8f310e17356d,English 111S,Introductory Composition and Research,1,1,exact,{1: 1},no
b03c9dfc-2bfd-4021-bcea-6e67245d27a2,English 200S,Literature and the Fine Arts I (Medieval Period to the Enlightenment),1,1,exact,{1: 1},no
5187d80c-c92f-48c5-b78c-8aeb44b272d8,English 211,Literature and Intermediate Composition,1,1,exact,{1: 1},no
5097e8a0-7a25-49d4-a4ab-7a916a10637e,English 211S,Literature and Intermediate Composition,1,1,exact,{1: 1},no
22462338-90c0-47d8-b25f-4ba32bf51e44,English 212,Literature and Intermediate Composition: Digital Humanities,1,1,exact,{1: 1},no
0528af08-2827-4b5d-bc86-c952e2d40d73,English 300,Literary and Linguistic Problems,1,1,exact,{1: 1},no
a3e0adbb-df55-4326-92d7-1b8d0c434720,English 303,Classical Literature,1,1,exact,{1: 1},no
2c460d75-c310-4b0f-a158-c2ba24319f92,English 308,Medieval and Renaissance Literature,1,1,exact,{1: 1},no
ae203038-d410-4e5b-9ac9-5125689d4792,English 313,Seventeenth- and Eighteenth-Century Literature,1,1,exact,{1: 1},no
af377268-5203-4bc7-8014-af6d55130432,English 319,Nineteenth-Century Literature,1,1,exact,{1: 1},no
2edd95fd-93a0-44b0-8e71-1f2205c9e0ab,English 324,Twentieth-Century Literature,1,1,exact,{1: 1},no
803f8fde-e568-471b-9713-e8e9bf8764fc,English 330,Twenty-First-Century Literature,1,1,exact,{1: 1},no
2988fa79-0fc4-424d-ba34-e9acdbf7a83b,English 335,Speech and Communication Studies,1,1,exact,{1: 1},no
c9d4aef7-e204-4f80-b1e1-30564002877f,English 340,Genre and Form,1,1,exact,{1: 1},no
1e21fed6-a1c1-472a-a863-9dd699a4f59b,English 345,Digital Humanities,1,1,exact,{1: 1},no
26f14491-61d9-4c69-82dc-918c674c5b13,English 350,World Literature,1,1,exact,{1: 1},no
f8df8e5e-3485-4100-9732-37e10920c6ea,English 355,"Literature, Language, and Culture",1,1,exact,{1: 1},no
10e62ede-e1f2-4762-8db3-9e788cafcf34,English 360,"Literature, Language, and Sexuality",1,1,exact,{1: 1},no
4b668374-f565-480d-8902-4ffee6fa31ac,English 365,"Literature, Language, and Class",1,1,exact,{1: 1},no
66cca2ed-6fd5-495c-913b-b5440527930e,English 370,Special Topics in War and Literature,1,1,exact,{1: 1},no
7b27aa2e-a9f8-470a-95a1-ae58a1c7e6ae,English 375,"Literature, Language, and Science",1,1,exact,{1: 1},no
3aa898a6-009b-4689-831e-3e5aeb13b312,English 380,"Literature, Language, and Politics",1,1,exact,{1: 1},no
3de18003-40bf-43fb-91ab-2a5c822e10d9,English 385,"Literature, Language, and Philosophy",1,1,exact,{1: 1},no
c8415644-ee57-443f-bbdb-2536da3369c8,English 400S,Literature and the Fine Arts II (Enlightenment to the 20th Century),1,1,exact,{1: 1},no
62a882af-7417-4e73-8df3-fc0fad116e43,English 411,War Stories,1,1,exact,{1: 1},no
eeba90b6-7a73-4b96-a06e-a1f667c9909b,English 489,Capstone Research,1,1,exact,{1: 1},no
32a6f23f-3394-44c8-9fb8-7b1922318ed8,English 490,Capstone Colloquium,1,1,exact,{1: 1},no
